sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
11,20 MICRONS LTD.,20170331,12,INDAS,3741.8,3729.3,3.5,3.5,,3738.3,131.6,519.6,193.2,410.8,130.0,3.4775,3661.4,901.1,630.2,1399.7,35286502.0,,176.4,,,,352.865,1173.1,1453.8,3661.4,2103.5,1557.9,3501.85,0.5033,0.9607,1.2393,529.6,586.0,,2016
11,20 MICRONS LTD.,20180331,12,INDAS,3922.0,3891.8,12.8,12.8,,3909.2,158.8,545.0,238.6,439.5,162.1,4.1466,3808.7,842.3,562.9,1397.1,35286502.0,,176.4,,,,352.865,1317.9,1294.2,3808.7,2129.2,1679.5,3730.1,0.561,1.002,0.982,499.1,541.0,,2017
11,20 MICRONS LTD.,20190331,12,INDAS,4383.1,4363.7,3.5,3.5,,4379.6,217.1,641.7,339.4,530.7,215.7,4.9251,3996.2,733.7,443.0,1428.6,35286502.0,,176.4,,,,352.865,1520.8,1166.3,3996.2,2102.6,1893.6,3897.5,0.5976,1.0725,0.7669,455.2,523.7,,2018
289,A B C INDIA LTD.,20170331,12,INDAS,1309.3,1292.9,13.6,3.8,9.8,1295.7,-52.7,16.0,-59.4,-28.6,-66.3,-5.1169,811.3,165.7,114.9,354.6,5417232.0,,54.2,,,,54.1723,229.0,329.5,811.3,281.3,530.0,889.7,1.355,1.3999,1.4389,42.8,42.2,,2016
289,A B C INDIA LTD.,20180331,12,INDAS,1264.6,1166.4,96.1,1.6,94.5,1168.5,8.9,60.0,-1.1,-55.0,-85.6,-7.3256,665.5,111.4,70.3,310.5,5417232.0,,54.1,,,,54.1723,237.7,233.7,665.5,177.6,487.9,738.05,1.3375,1.3775,0.9832,-1.3,-0.3,,2017
289,A B C INDIA LTD.,20190331,12,INDAS,1783.2,1769.9,10.4,2.7,7.7,1772.8,57.5,139.8,48.3,76.0,48.9,2.7583,827.4,66.9,24.3,454.8,5417232.0,,54.1,,,,54.1723,293.8,174.1,827.4,178.6,648.8,745.85,1.1867,1.2199,0.5926,125.7,119.3,,2018
363,STARLOG ENTERPRISES LTD.,20170331,12,INDAS,635.5,634.5,0.2,,0.2,635.3,-234.8,270.4,-244.0,63.4,-235.0,-36.9904,4512.0,1085.7,744.7,1702.4,11966985.0,,119.7,,,,119.6698,1522.6,2109.8,4512.0,3823.4,688.6,4720.9,0.2479,0.3161,1.3857,256.8,268.2,,2016
363,STARLOG ENTERPRISES LTD.,20180331,12,INDAS,556.0,283.7,269.4,269.4,,286.6,-120.0,285.0,-120.0,-127.9,-355.5,-124.0405,3911.0,712.0,410.8,1594.5,11966985.0,,119.7,,,,119.6698,1396.7,1619.0,3911.0,3250.4,660.6,4211.5,0.2477,0.3247,1.1592,88.0,81.2,,2017
363,STARLOG ENTERPRISES LTD.,20190331,12,INDAS,294.3,246.6,32.0,,32.0,262.3,-280.3,111.9,-280.3,-79.0,-312.3,-119.0621,3749.2,592.2,283.5,1848.7,11966985.0,,119.7,,,,119.6698,1118.8,1716.4,3749.2,3097.8,651.4,3830.1,0.2086,0.2741,1.5341,113.1,117.7,,2018
414,A B M INTERNATIONAL LTD.,20170331,12,INDAS,1428.0,1423.1,1.7,1.4,0.3,1426.3,6.2,14.3,9.3,7.0,4.5,0.3155,349.5,1.3,1.0,152.2,11760000.0,,117.6,,,,117.6,158.0,2.5,349.5,90.1,259.4,396.2,0.9288,1.1298,0.0158,-40.1,-36.6,,2016
414,A B M INTERNATIONAL LTD.,20180331,12,INDAS,888.5,886.4,,,,888.5,-2.2,3.1,-0.7,1.6,0.8,0.0900,283.4,1.6,0.3,123.9,11760000.0,,117.6,,,,117.6,155.7,1.9,283.4,45.6,237.8,315.8,1.5984,1.5992,0.0122,0.6,1.9,,2017
